up,down,total,up10,down10,ROC
56,31,93,58.6,30.0,66.13995485327314
76,15,92,57.4,31.3,64.71251409244644
18,74,93,52.2,37.2,58.38926174496645
87,2,93,53.3,36.0,59.68645016797312
57,32,92,54.5,34.8,61.03023516237403
64,25,91,55.7,33.8,62.23463687150838
80,8,91,55.3,34.0,61.92609182530795
40,51,91,55.6,33.8,62.1923937360179
22,67,90,54.1,35.3,60.51454138702461
83,6,89,58.3,31.1,65.21252796420582
81,8,89,60.8,28.8,67.85714285714286
40,49,90,57.2,32.2,63.982102908277405
19,70,89,57.3,31.8,64.30976430976432
69,20,89,55.5,33.6,62.28956228956229
53,34,89,55.1,33.8,61.97975253093364
33,58,91,52.0,37.1,58.36139169472503
83,8,91,52.3,37.1,58.50111856823266
86,5,91,56.9,32.5,63.646532438478744
44,45,91,59.1,30.3,66.10738255033557
31,61,92,53.9,35.8,60.0891861761427
67,24,92,52.5,37.4,58.398220244716356
24,69,93,50.9,39.4,56.36766334440753
72,19,93,56.2,34.3,62.09944751381216
33,56,91,52.6,37.9,58.12154696132597
56,35,93,52.9,38.0,58.19581958195819
7,83,91,50.3,40.5,55.39647577092511
18,72,91,43.8,46.9,48.291069459757445
17,74,93,36.9,53.8,40.68357221609702
89,2,92,41.4,49.5,45.54455445544555
93,0,93,47.6,43.4,52.30769230769231
69,23,93,47.8,43.3,52.469813391877054
42,50,92,49.6,41.4,54.505494505494504
36,53,90,46.0,44.8,50.66079295154185
22,69,91,44.9,46.1,49.34065934065934
46,42,91,43.9,46.8,48.4013230429989
86,6,92,51.8,39.1,56.985698569856986
60,27,91,56.0,34.6,61.81015452538631
82,10,93,62.5,28.2,68.90848952590959
77,16,94,61.3,29.6,67.43674367436743
92,1,93,61.2,29.7,67.32673267326733
83,10,94,62.6,28.4,68.79120879120879
49,45,94,63.3,27.9,69.40789473684211
12,82,94,60.9,30.8,66.41221374045801
45,48,94,63.2,28.7,68.77040261153428
94,0,94,68.0,24.5,73.51351351351352
82,9,93,67.6,24.8,73.16017316017316
44,48,92,66.0,26.9,71.04413347685684
41,51,92,61.9,31.0,66.63078579117331
67,24,92,60.9,31.8,65.69579288025889
49,42,91,56.6,35.9,61.18918918918919
44,47,91,52.7,39.6,57.096424702058506
59,31,91,53.7,38.2,58.433079434167574
55,34,91,58.0,33.4,63.457330415754925
67,21,90,60.2,30.7,66.22662266226622
38,50,88,54.6,35.7,60.46511627906977
